ID,Age,Overall,Potential,Value,Wage,height,weight,crossing,finishing,heading_accuracy,short_passing,volleys,acceleration,sprint_speed,agility,reactions,balance,dribbling,curve,fk_accuracy,long_passing,ball_control,shot_power,jumping,stamina,strength,long_shots,aggression,interception,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot,weak_foot,skill_move,international_reputation,work_rate,Position_Category,body_type_clean
261188,22,71,81,4200000.0,16000.0,180.0,70.0,52,72,45,66,57.0,80,82,79,67.0,74.0,77,68,55,58,75.0,69,46,66,64,61.0,31,34,71.0,66.0,51.0,68.0,37,28,22.0,7,9,7,15,8,1,3.0,4.0,1.0,6,0,0
240833,17,71,89,4700000.0,6000.0,175.0,73.0,44,76,58,65,69.0,82,86,84,66.0,85.0,78,68,39,42,75.0,65,77,64,67,59.0,43,29,69.0,59.0,60.0,66.0,29,31,25.0,13,13,11,10,13,0,4.0,4.0,1.0,7,1,1
183569,33,75,75,3600000.0,50000.0,191.0,90.0,65,74,75,75,74.0,55,69,73,75.0,65.0,81,74,44,63,78.0,78,70,54,81,64.0,57,40,76.0,67.0,68.0,75.0,31,36,20.0,9,9,9,16,6,1,4.0,3.0,2.0,2,1,1
236524,23,72,82,4900000.0,16000.0,195.0,84.0,45,26,72,71,25.0,72,82,72,72.0,52.0,59,44,34,65,65.0,57,71,73,81,32.0,74,74,27.0,60.0,45.0,74.0,68,68,75.0,7,10,8,11,9,1,3.0,2.0,1.0,8,2,0
256790,19,82,91,66000000.0,43000.0,184.0,72.0,66,76,49,83,63.0,81,72,92,82.0,91.0,88,64,48,74,86.0,71,55,77,53,73.0,59,65,76.0,78.0,51.0,82.0,64,63,69.0,6,9,8,8,11,1,4.0,5.0,1.0,8,0,0
246191,22,78,86,32000000.0,100000.0,173.0,71.0,75,80,68,74,75.0,80,73,87,78.0,87.0,82,80,74,74,83.0,84,69,79,70,80.0,83,46,82.0,81.0,73.0,82.0,60,53,46.0,6,10,8,15,6,1,4.0,4.0,1.0,0,1,1
247635,21,78,86,31500000.0,42000.0,183.0,70.0,69,72,62,76,60.0,83,82,84,72.0,71.0,84,78,59,70,83.0,73,59,71,68,71.0,61,37,76.0,77.0,65.0,76.0,41,39,34.0,9,15,8,14,8,1,5.0,4.0,1.0,8,1,1
268438,18,64,84,1600000.0,9000.0,180.0,70.0,61,62,44,57,54.0,81,80,83,63.0,86.0,66,64,61,47,62.0,57,38,63,50,56.0,46,25,60.0,57.0,56.0,65.0,18,23,20.0,6,15,14,13,7,1,4.0,3.0,1.0,2,1,0
222724,25,73,76,4000000.0,32000.0,166.0,70.0,70,65,48,70,59.0,86,80,87,66.0,84.0,79,72,66,62,76.0,67,87,71,65,71.0,41,39,64.0,69.0,57.0,72.0,29,34,35.0,16,12,8,16,15,0,4.0,4.0,1.0,2,0,2
191089,29,66,66,850000.0,4000.0,191.0,90.0,62,67,72,62,62.0,46,33,39,67.0,34.0,64,53,67,57,68.0,73,67,33,82,65.0,71,18,67.0,60.0,64.0,65.0,29,28,20.0,8,16,6,10,12,1,3.0,3.0,1.0,2,1,1
239085,21,89,94,160000000.0,230000.0,195.0,94.0,47,94,79,74,88.0,82,94,76,89.0,72.0,78,77,62,53,82.0,94,74,81,93,87.0,85,43,91.0,74.0,76.0,85.0,44,53,29.0,7,14,13,11,7,0,3.0,3.0,4.0,2,1,3
264388,18,74,87,10000000.0,3000.0,169.0,67.0,59,69,57,77,53.0,80,74,80,66.0,83.0,79,59,42,74,76.0,68,61,65,56,62.0,60,45,72.0,84.0,59.0,60.0,40,48,53.0,6,9,11,8,11,1,3.0,3.0,1.0,8,0,1
245541,19,77,86,23000000.0,24000.0,185.0,79.0,70,68,45,79,75.0,78,78,84,77.0,77.0,85,78,64,64,79.0,78,66,73,74,76.0,56,37,73.0,78.0,50.0,78.0,35,35,37.0,10,13,14,12,7,1,2.0,4.0,2.0,8,0,1
236772,21,80,87,43000000.0,43000.0,186.0,74.0,81,75,58,81,82.0,78,77,77,76.0,63.0,81,90,87,79,83.0,87,69,74,69,87.0,40,32,74.0,80.0,79.0,80.0,35,30,25.0,10,10,13,10,6,1,4.0,4.0,1.0,7,0,1
262113,20,75,87,13500000.0,37000.0,175.0,70.0,72,58,45,75,59.0,85,86,75,68.0,75.0,78,64,57,63,76.0,72,57,71,45,46.0,57,50,71.0,69.0,63.0,63.0,59,57,52.0,10,5,7,8,15,1,4.0,3.0,1.0,7,0,1
259583,19,76,89,17000000.0,34000.0,186.0,73.0,76,64,64,74,58.0,86,89,80,70.0,70.0,76,59,51,64,78.0,71,62,79,75,59.0,68,68,69.0,60.0,46.0,64.0,66,73,65.0,8,14,11,10,14,0,3.0,3.0,1.0,0,2,1
232411,24,86,89,94000000.0,90000.0,175.0,73.0,81,86,61,85,70.0,87,89,88,85.0,90.0,89,82,80,80,88.0,79,59,78,64,78.0,59,64,86.0,85.0,67.0,81.0,62,64,54.0,5,6,10,15,7,1,3.0,5.0,3.0,8,1,1
264309,17,69,86,3500000.0,3000.0,176.0,61.0,71,63,40,72,61.0,71,65,81,58.0,84.0,75,79,73,70,72.0,64,62,59,35,62.0,34,47,64.0,70.0,67.0,70.0,39,40,36.0,13,10,11,14,10,0,3.0,3.0,1.0,8,0,0
268802,18,73,88,7000000.0,22000.0,179.0,72.0,71,50,49,77,70.0,77,77,77,71.0,77.0,77,74,69,75,79.0,66,59,79,67,68.0,72,62,66.0,73.0,65.0,72.0,62,69,67.0,11,9,6,14,12,1,4.0,3.0,1.0,8,0,1
270086,18,72,87,5000000.0,2000.0,187.0,80.0,45,28,64,74,29.0,77,80,48,78.0,52.0,67,31,26,73,70.0,45,67,81,82,22.0,58,76,25.0,63.0,40.0,77.0,74,75,68.0,12,10,8,6,8,1,2.0,2.0,1.0,5,2,0
264240,17,79,87,36000000.0,17000.0,173.0,68.0,69,68,42,83,49.0,77,75,86,79.0,90.0,83,74,47,79,82.0,56,70,79,55,67.0,82,74,78.0,81.0,51.0,74.0,59,72,66.0,8,10,11,7,13,1,3.0,3.0,1.0,0,0,1
246340,21,75,85,12500000.0,750.0,175.0,61.0,69,66,39,66,47.0,89,87,86,67.0,75.0,80,62,63,64,79.0,69,60,64,53,64.0,62,28,69.0,73.0,52.0,70.0,51,52,38.0,10,12,14,6,7,1,4.0,4.0,1.0,2,0,0
262863,17,68,88,3300000.0,2000.0,180.0,73.0,58,58,40,62,55.0,87,85,89,50.0,86.0,78,67,58,57,75.0,67,33,42,53,60.0,37,27,57.0,53.0,54.0,55.0,37,47,53.0,12,14,14,9,10,1,4.0,4.0,1.0,8,1,1
239053,23,85,90,81000000.0,190000.0,182.0,78.0,73,75,59,86,70.0,84,91,77,85.0,68.0,81,72,66,87,84.0,88,62,88,80,84.0,81,81,79.0,83.0,59.0,82.0,79,81,79.0,6,10,6,15,8,1,4.0,3.0,1.0,0,0,3
246174,19,75,87,13500000.0,44000.0,170.0,67.0,74,64,40,75,58.0,82,75,87,72.0,87.0,79,61,57,70,79.0,62,40,70,37,63.0,36,38,72.0,78.0,59.0,73.0,37,40,32.0,10,10,6,14,7,0,4.0,4.0,1.0,8,0,0
228093,24,79,84,27000000.0,32000.0,192.0,90.0,74,80,77,74,70.0,78,89,73,78.0,57.0,82,66,48,62,78.0,81,71,79,85,73.0,50,50,80.0,76.0,70.0,75.0,43,49,37.0,11,13,14,9,15,1,3.0,3.0,2.0,7,1,2
252371,19,84,91,81500000.0,41000.0,186.0,75.0,66,77,67,84,71.0,78,73,81,84.0,79.0,85,68,49,82,84.0,78,77,89,74,74.0,85,80,77.0,84.0,56.0,79.0,79,78,76.0,14,11,10,5,8,1,4.0,4.0,2.0,0,0,0
233260,24,77,83,0.0,0.0,173.0,77.0,69,73,64,77,65.0,81,79,83,72.0,86.0,82,72,75,74,78.0,80,70,80,75,81.0,64,26,75.0,82.0,66.0,75.0,44,19,18.0,5,11,12,8,7,1,3.0,4.0,1.0,7,1,1
251570,18,73,88,7000000.0,19000.0,176.0,71.0,70,64,28,69,57.0,73,68,82,69.0,83.0,86,77,73,59,79.0,76,31,53,65,66.0,57,22,69.0,68.0,61.0,75.0,19,23,15.0,7,14,6,8,8,0,5.0,5.0,1.0,1,1,2
158023,35,91,91,54000000.0,195000.0,169.0,67.0,84,90,70,91,88.0,87,76,91,92.0,95.0,95,93,93,90,93.0,86,68,70,68,91.0,44,40,93.0,94.0,75.0,96.0,20,35,24.0,6,11,15,14,8,0,4.0,4.0,5.0,4,1,3
180403,33,76,76,4700000.0,51000.0,175.0,77.0,75,73,31,78,59.0,77,68,82,75.0,80.0,80,82,82,71,79.0,82,32,51,56,78.0,45,55,76.0,78.0,79.0,77.0,43,55,50.0,14,12,13,7,13,1,4.0,4.0,3.0,7,0,1
247090,21,79,87,39500000.0,13000.0,180.0,77.0,66,66,66,83,75.0,77,72,76,77.0,77.0,77,74,69,81,80.0,83,70,83,79,78.0,82,70,79.0,82.0,70.0,80.0,72,75,74.0,8,6,7,8,10,1,4.0,3.0,1.0,0,0,1
241721,23,84,90,66500000.0,90000.0,188.0,81.0,75,80,63,76,74.0,90,92,82,83.0,80.0,89,80,60,63,86.0,80,62,77,80,72.0,60,24,82.0,74.0,63.0,81.0,22,24,21.0,10,12,15,11,9,1,4.0,4.0,1.0,7,1,1
251852,20,75,87,13500000.0,31000.0,177.0,75.0,63,77,62,69,71.0,94,92,88,69.0,81.0,78,67,62,64,75.0,76,88,74,74,75.0,51,23,75.0,68.0,73.0,73.0,18,19,25.0,12,12,7,12,7,0,3.0,4.0,1.0,2,1,1
256630,19,82,91,66000000.0,38000.0,176.0,72.0,77,78,39,82,68.0,76,79,85,80.0,82.0,86,76,54,82,88.0,67,52,79,50,70.0,63,45,78.0,85.0,60.0,80.0,55,57,44.0,14,14,13,6,10,1,4.0,4.0,2.0,2,0,1
251517,20,81,89,53000000.0,41000.0,185.0,80.0,61,42,77,76,54.0,80,84,68,77.0,65.0,75,59,59,74,76.0,76,84,79,84,56.0,85,80,58.0,65.0,61.0,75.0,77,83,83.0,5,8,6,9,11,0,4.0,3.0,1.0,0,2,1
263578,18,73,83,6000000.0,22000.0,175.0,69.0,72,48,61,77,32.0,83,84,81,70.0,74.0,74,56,28,65,75.0,53,45,73,63,39.0,47,66,63.0,72.0,41.0,64.0,63,70,70.0,5,8,7,10,13,0,4.0,2.0,1.0,2,2,0
251854,19,85,92,104500000.0,115000.0,174.0,61.0,68,68,50,87,56.0,82,76,88,85.0,90.0,87,79,62,85,88.0,66,65,88,73,67.0,62,72,77.0,88.0,53.0,87.0,68,73,63.0,12,7,11,8,8,1,4.0,4.0,2.0,0,0,0
253149,21,80,86,31500000.0,38000.0,171.0,64.0,83,62,49,75,43.0,96,93,91,76.0,90.0,85,74,47,58,79.0,53,72,84,61,48.0,74,71,76.0,75.0,39.0,71.0,73,77,74.0,12,7,8,13,14,1,3.0,3.0,1.0,2,2,1
260592,19,72,85,5500000.0,13000.0,193.0,77.0,55,71,71,66,68.0,77,84,74,66.0,61.0,70,59,56,52,72.0,74,73,70,83,70.0,62,32,74.0,61.0,61.0,67.0,42,42,35.0,10,8,5,14,6,1,3.0,3.0,1.0,8,1,0
257179,20,79,88,36000000.0,11000.0,185.0,78.0,30,23,77,78,45.0,78,81,65,77.0,55.0,49,29,27,76,73.0,67,72,76,78,28.0,77,78,48.0,68.0,40.0,75.0,81,82,79.0,6,6,7,10,7,0,2.0,2.0,1.0,6,2,0
245367,19,75,87,13500000.0,10000.0,173.0,58.0,62,65,50,76,56.0,86,84,86,72.0,82.0,77,72,65,70,80.0,67,53,71,58,63.0,74,61,73.0,76.0,63.0,75.0,48,61,52.0,9,11,5,8,10,1,3.0,4.0,1.0,2,0,0
